clip,line_text,recognized
tesla_001.mp3,"크리그가 이순신 장군을 '죽이지 않고' 봉인한 이유 — 그게 핵심이야. 수백 년 전, 치크스와 우르사 메이저가 지구를 봉쇄하고 아이젠클로가 항로를 집어삼킬 때, 끝까지 굽히지 않은 단 한 사람. 아이젠클로는 그 전술을 통째로 뽑아내 크리그 방어 알고리즘에 박아 넣었어. 말 그대로 '살아있는 방패'지. 그런데 — 방패의 원본이 깨어나 움직이면? 알고리즘이 제 꼬리를 물고 무너질 수도 있어.","크리그가 이순신 장군을 죽이지 않고 봉인한 이유, 그게 핵심이야. 수백 년 전 치크스와 우르사 메이저가 지구를 봉쇄하고 아이젠큐로가 항로를 집어삼킬 때 끝까지 굽히지 않은 단 한 사람. 아이젠쿠로는 그 전술을 통째로 뽑아내. 크리그 방어 알고리즘에 다가넣었어. 말 그대로 살아있는 방패재. 그런데 방패의 원본이 깨어나 움직이면 알고리즘이 제 꼬리를 물고 무너질 수도 있어."
tesla_002.mp3,바로 그거야. 그래서 크리그는 죽어도 못 놓지.,바로 그거야. 그래서 크리그는 죽어도 못 놓지.
tesla_003.mp3,생체 병기 도면은 LHS에서 태워버렸어. …하지만 백업이 어딘가 살아 있을 거야. 방심은 금물.,생체 병기 도면은 엘에이치에스에서 태워버렸어. 하지만 백업이 어딘가 살아있을 거야. 방심은 금물.
tesla_004.mp3,제타 레티쿨리 전에 캅테인 균열을 거쳐야 해. 거기 아인슈타인이 있어 — 우르사의 보이드 방어막을 풀 열쇠야.,제타 레티쿨리 전의 캅테인 균열을 거쳐야 해. 거기 아인슈타인이 있어. 우르사의 보이드 방어막을 풀 열쇠야.
tesla_005.mp3,아인슈타인 박사가 이 안에 있어. 보이드 안정화 이론을 실증하려고 단신으로 들어갔지.,아인슈타인 박사가 이 안에 있어. 보이드 안정화 이론을 실증하려고 단신으로 들어갔지.
tesla_006.mp3,그게 그의 방식이지. 이론을 몸으로 증명하는 거.,그게 그의 방식이지. 이론을 몸으로 증명하는 거.
tesla_007.mp3,박사님 — 100년 만에 다시 같이 일하는군요.,박사님. 백년 만에 다시 같이 일하는군요.
tesla_008.mp3,에너지 만충. 거북선 추진 코어 100%.,에너지 만충. 거북선 추진 코어 배포 센서.
tesla_009.mp3,100년 전 너희가 균열에 던진 노학자 — 그의 이론이다.,백년 전 너희가 균열에 던진 노학자. 그의 이론이다.
tesla_010.mp3,테슬라 초공간 — ATT ×5 발동!,테슬라 초공간 공격력 다섯배 발동.
tesla_011.mp3,다음엔 무선 전력으로 지구 전체를 깔자.,다음엔 무선 전력으로 지구 전체를 까자.
tesla_012.mp3,무선 전력망 재건. 100년 만에 다시 깔 거야.,무선 전력망 재건. 백년 만에 다시 깔 거야.
tesla_013.mp3,들어오지 마세요! 지금 정밀 조정 중이에요!,들어오지 마세요. 지금 정밀 조정 중이에요.
tesla_014.mp3,"진짜요? 확인해볼게요. 데이터 스캔. …맞네요. 정확히 100,247 크레딧. 좋습니다.",진짜요? 확인해 볼게요. 데이터 스캔. 맞네요. 정확히 십만 이백사십칠 크레딧. 좋습니다.
tesla_015.mp3,완성이에요! 100년 만에 완성! 이제 갈 수 있어요!,완성이에요. 백년 만의 완성! 이제 갈 수 있어요.
