num,char_slug,emotion,text_ko,text_en
001,commander,[resolute][hesitant][curious],"얼마나, 잤지?",...How long was I out?
002,commander,[resolute][hesitant][curious],지구는... 아직도?,And Earth... still?
003,commander,[resolute][hesitant],"고향이, 아직 저 위에 있군.",...So home is still up there.
004,commander,[resolute][hesitant][curious],사람이? 아직 누가 남아 있다고?,…People? Someone's still out here?
005,commander,[resolute][curious],고작 장사로 봉쇄를 뚫겠다고?,You mean to break a blockade with trade?
006,commander,[resolute],좀 오래 잠들어 있었습니다. 이제 막 깼고요.,I was asleep a long while. Only just woke.
007,commander,[resolute],"지금은 고철뿐입니다. 하지만 곧, 훨씬 큰 걸 들고 오죠.","Scrap, for now. But soon — I'll bring back something far bigger."
008,commander,[resolute][hesitant][curious],거북선…?,Geobukseon
009,commander,[resolute][hesitant][curious],"그 사람은, 지금 어디 있지?",That person — where are they now?
010,commander,[resolute],잘 부탁해.,I'm counting on you.
011,commander,[resolute],구한다.,We save them.
012,commander,[resolute],간다.,Here we go.
013,commander,[resolute],"크리그를, 벌써 여기서 만나는군.","So we meet Krieg already, here."
014,commander,[resolute][hesitant],사람부터 꺼낸다.,…We get the people out first.
015,commander,[resolute],"백구, 62%면 충분해.","Baekgu, 62% is enough."
016,commander,[resolute],마르코 폴로. 이 구역 독립 중개상이라고 했어. 치크스 눈 피해 밀무역하는 사람 — 그가 통신 장비를 갖고 있을 거야.,Marco Polo. They say he's an independent broker in this sector. A smuggler who slips past Chiks eyes — he'll have the comms gear we need.
017,commander,[resolute],여긴 은하 공용 항로다. 비켜.,This is a galactic public lane. Move.
018,commander,[resolute],"발굴한다. 살아있는 거라면, 더더욱.",We dig it out. All the more if something's alive in there.
019,commander,[resolute],오르크를 잡으면 다음 경로가 열려. 출발한다.,Catch Ork and the next route opens up. We move out.
020,commander,[resolute],"치크스 변이 포자 ×3, 마침 이 구역 화물이다. 위장 미끼로 써먹자.",We've got three Chiks mutant spores — cargo from this very sector. Let's use them as our cover.
021,commander,[resolute][hesitant],설계도를 없앤다. 그리고 테슬라도 산 채로 꺼낸다. …사람부터다.,We destroy the blueprints. And we pull Tesla out alive. (quietly) …People first.
022,commander,[resolute][curious],"지하 감옥 진입 루트 — 마르코, 구역 지도 뽑을 수 있어?","The route into the underground prison — Marco, can you pull up a map of the sector?"
023,commander,[resolute],"이순신 장군이 수백 년째 저기 갇혀 있다. 오늘, 우리가 끝낸다.","General Yi Sun-sin has been locked in there for centuries. Today, we end it."
024,commander,[resolute],장군. 함께 갑시다.,Admiral. Let's go together.
025,commander,[resolute],함께 처리하자.,Let's deal with it together.
026,commander,[resolute],아우레우스 정보 칩으로 좌표 분석. 진입한다.,Analyzing the coordinates with the Aureus Information Chip. We're going in.
027,commander,[resolute],"아이젠클로. 100년 봉쇄의 집행관. 오늘, 네 쇠사슬을 여기서 끊는다.","Eisenklau. Enforcer of the hundred-year blockade. Today, I cut your chains right here."
