num,character,char_slug,emotion,text,input_text,filename
001,주인공(사령관),commander,,"얼마나, 잤지?","얼마나, 잤지?",sample3_commander_1.mp3
002,주인공(사령관),commander,,지구는... 아직도?,지구는... 아직도?,sample3_commander_2.mp3
003,주인공(사령관),commander,,"고향이, 아직 저 위에 있군.","고향이, 아직 저 위에 있군.",sample3_commander_3.mp3
004,백구,baekgu,,"사령관. 기상하세요. 에너지 잔량 칠 퍼센트 — 이 경보 울리려고, 마지막 한 줌까지 긁어모았어요.","사령관. 기상하세요. 에너지 잔량 칠 퍼센트 — 이 경보 울리려고, 마지막 한 줌까지 긁어모았어요.",sample3_baekgu_1.mp3
005,백구,baekgu,,"백 년 삼 개월 십이 일. 그동안 저는 한 번도 전원을 끄지 않았어요. 끄면, 깨워 줄 사람이 없을 것 같아서요.","백 년 삼 개월 십이 일. 그동안 저는 한 번도 전원을 끄지 않았어요. 끄면, 깨워 줄 사람이 없을 것 같아서요.",sample3_baekgu_2.mp3
006,백구,baekgu,,"우르사 메이저의 봉쇄, 그대로입니다. 떠날 때보다 오히려 더 조여졌어요.","우르사 메이저의 봉쇄, 그대로입니다. 떠날 때보다 오히려 더 조여졌어요.",sample3_baekgu_3.mp3
007,이순신,yisunsin,,"[옛 지구의 언어] …이곳이. 얼마나, 흘렀느냐.","[옛 지구의 언어] …이곳이. 얼마나, 흘렀느냐.",sample3_yisunsin_1.mp3
008,이순신,yisunsin,,"백 년이라. 내 전술이 적의 방패가 되어, 그 긴 세월 동료들을 막았다는 것이냐. …나를 깨운 자가 사령관인가. 빚을 졌다.","백 년이라. 내 전술이 적의 방패가 되어, 그 긴 세월 동료들을 막았다는 것이냐. …나를 깨운 자가 사령관인가. 빚을 졌다.",sample3_yisunsin_2.mp3
009,이순신,yisunsin,,무기와 장갑이 함께 봉인돼 있었다. 가져가시오 — 내 손은 이미 그대의 손이 되었으니.,무기와 장갑이 함께 봉인돼 있었다. 가져가시오 — 내 손은 이미 그대의 손이 되었으니.,sample3_yisunsin_3.mp3
010,마르코 폴로,marcopolo,,"이순신? …그 이름, 오랜만이군. 남들은 잡음으로 흘리지만 — 난 그 신호를 '봤어'. 에리다니 노인들이 잡았다는 그거.","이순신? …그 이름, 오랜만이군. 남들은 잡음으로 흘리지만 — 난 그 신호를 '봤어'. 에리다니 노인들이 잡았다는 그거.",sample3_marcopolo_1.mp3
011,마르코 폴로,marcopolo,,"한 팀 하자. 길 찾고 정보 캐는 건, 이 은하에 나만 한 사람이 없거든.","한 팀 하자. 길 찾고 정보 캐는 건, 이 은하에 나만 한 사람이 없거든.",sample3_marcopolo_2.mp3
012,마르코 폴로,marcopolo,,"잠깐 — 다들 못 봤지? 저 잔해 너머, 탐사선 하나가 해적한테 뜯기고 있어.","잠깐 — 다들 못 봤지? 저 잔해 너머, 탐사선 하나가 해적한테 뜯기고 있어.",sample3_marcopolo_3.mp3
013,유리 가가린,gagarin,,칩 돌려줘서 고맙다. 보답으로 같이 가주지 — 어차피 이 근방에 나보다 잘 나는 녀석도 없으니까.,칩 돌려줘서 고맙다. 보답으로 같이 가주지 — 어차피 이 근방에 나보다 잘 나는 녀석도 없으니까.,sample3_gagarin_1.mp3
014,유리 가가린,gagarin,,"넥서스 프라임 LHS 광산 쪽, 아주 오래된 통신 패턴이 잡혀. 백 년은 묵었고 — 이순신, 그 이름과 엮여 있어.","넥서스 프라임 LHS 광산 쪽, 아주 오래된 통신 패턴이 잡혀. 백 년은 묵었고 — 이순신, 그 이름과 엮여 있어.",sample3_gagarin_2.mp3
015,유리 가가린,gagarin,,"덤으로, 데이터 안에 외피 도면도 있더군. 가시 돌기 구조 — 너희 골격 단편이랑 딱 맞아.","덤으로, 데이터 안에 외피 도면도 있더군. 가시 돌기 구조 — 너희 골격 단편이랑 딱 맞아.",sample3_gagarin_3.mp3
016,장영실,jangyeongsil,,"거북선을… 만들겠다고? 사백 년 전 그 배를, 지금 재료로.","거북선을… 만들겠다고? 사백 년 전 그 배를, 지금 재료로.",sample3_jangyeongsil_1.mp3
017,장영실,jangyeongsil,,"중수소 배터리 세 개. 내 시뮬레이터 연료다. 그걸 가져오면 — 한번, 들어주지.","중수소 배터리 세 개. 내 시뮬레이터 연료다. 그걸 가져오면 — 한번, 들어주지.",sample3_jangyeongsil_2.mp3
018,장영실,jangyeongsil,,거북선 완성에 저항군 반물질이 스물다섯 개 필요해. 지금 우리한테 있는 건...,거북선 완성에 저항군 반물질이 스물다섯 개 필요해. 지금 우리한테 있는 건...,sample3_jangyeongsil_3.mp3
019,광개토대왕,gwanggaeto,,당신이 사령관인가. 크리그를 상대로 물러서지 않는다고? …마음에 드는군.,당신이 사령관인가. 크리그를 상대로 물러서지 않는다고? …마음에 드는군.,sample3_gwanggaeto_1.mp3
020,광개토대왕,gwanggaeto,,소문은 정확하군. 나는 이 은하 어느 세력에도 무릎 꿇지 않아. 자유 상인이지. 허나 — 크리그 같은 것들과는 거래하지 않는다.,소문은 정확하군. 나는 이 은하 어느 세력에도 무릎 꿇지 않아. 자유 상인이지. 허나 — 크리그 같은 것들과는 거래하지 않는다.,sample3_gwanggaeto_2.mp3
021,광개토대왕,gwanggaeto,,"이 행성을 내 손에 넣어 보여라. 경매에서 최고가를 불러, 이 땅을 가질 자격을 증명해. 그러면 당신과 함께 가지. 정복할 가치가 있는 상대인지 — 내 눈으로 보겠다.","이 행성을 내 손에 넣어 보여라. 경매에서 최고가를 불러, 이 땅을 가질 자격을 증명해. 그러면 당신과 함께 가지. 정복할 가치가 있는 상대인지 — 내 눈으로 보겠다.",sample3_gwanggaeto_3.mp3
022,니콜라 테슬라,tesla,,"크리그가 이순신 장군을 '죽이지 않고' 봉인한 이유 — 그게 핵심이야. 수백 년 전, 치크스와 우르사 메이저가 지구를 봉쇄하고 아이젠클로가 항로를 집어삼킬 때, 끝까지 굽히지 않은 단 한 사람. 아이젠클로는 그 전술을 통째로 뽑아내 크리그 방어 알고리즘에 박아 넣었어. 말 그대로 '살아있는 방패'지. 그런데 — 방패의 원본이 깨어나 움직이면? 알고리즘이 제 꼬리를 물고 무너질 수도 있어.","크리그가 이순신 장군을 '죽이지 않고' 봉인한 이유 — 그게 핵심이야. 수백 년 전, 치크스와 우르사 메이저가 지구를 봉쇄하고 아이젠클로가 항로를 집어삼킬 때, 끝까지 굽히지 않은 단 한 사람. 아이젠클로는 그 전술을 통째로 뽑아내 크리그 방어 알고리즘에 박아 넣었어. 말 그대로 '살아있는 방패'지. 그런데 — 방패의 원본이 깨어나 움직이면? 알고리즘이 제 꼬리를 물고 무너질 수도 있어.",sample3_tesla_1.mp3
023,니콜라 테슬라,tesla,,바로 그거야. 그래서 크리그는 죽어도 못 놓지.,바로 그거야. 그래서 크리그는 죽어도 못 놓지.,sample3_tesla_2.mp3
024,니콜라 테슬라,tesla,,생체 병기 도면은 LHS에서 태워버렸어. …하지만 백업이 어딘가 살아 있을 거야. 방심은 금물.,생체 병기 도면은 LHS에서 태워버렸어. …하지만 백업이 어딘가 살아 있을 거야. 방심은 금물.,sample3_tesla_3.mp3
025,호레이쇼 넬슨,nelson,,"옛 지구였지. 마지막으로 본 것은, 그 대해전의 안개였소.","옛 지구였지. 마지막으로 본 것은, 그 대해전의 안개였소.",sample3_nelson_1.mp3
026,호레이쇼 넬슨,nelson,,"동방의 거북선 제독… 이름은 들었소. 솔직히, 한 수 위라 인정한 유일한 이름이지. 같은 바다의 영웅을 우주에서 만나다니.","동방의 거북선 제독… 이름은 들었소. 솔직히, 한 수 위라 인정한 유일한 이름이지. 같은 바다의 영웅을 우주에서 만나다니.",sample3_nelson_2.mp3
027,호레이쇼 넬슨,nelson,,그 마지막 대해전의 바람을 다시 맞을 줄은 몰랐소. 그대들의 함대에 함께 하지 — 마지막 일전이 어디든.,그 마지막 대해전의 바람을 다시 맞을 줄은 몰랐소. 그대들의 함대에 함께 하지 — 마지막 일전이 어디든.,sample3_nelson_3.mp3
028,A. 아인슈타인,einstein,,반갑소. 이 균열 안에서 백 년을 기다렸지. 시공은 상대적이니 — 나에게는 그리 길지 않았소.,반갑소. 이 균열 안에서 백 년을 기다렸지. 시공은 상대적이니 — 나에게는 그리 길지 않았소.,sample3_einstein_1.mp3
029,A. 아인슈타인,einstein,,우르사의 보이드 방어막 — 일정 주파수에서 공명을 일으키면 영쩜삼초만에 풀리오. 내가 계산을 해주지.,우르사의 보이드 방어막 — 일정 주파수에서 공명을 일으키면 영쩜삼초만에 풀리오. 내가 계산을 해주지.,sample3_einstein_2.mp3
030,A. 아인슈타인,einstein,,테슬라. 자네의 무선 전력은 결국 옳았어. 시간이 증명했지.,테슬라. 자네의 무선 전력은 결국 옳았어. 시간이 증명했지.,sample3_einstein_3.mp3
031,이휘소,leehwiso,,누구시오? 이 좌표를 아는 사람이 있다니.,누구시오? 이 좌표를 아는 사람이 있다니.,sample3_leehwiso_1.mp3
032,이휘소,leehwiso,,방정식이 완성됐소. 보이드 에너지와 반물질을 결합하면 — 지금껏 이 우주에 없던 무기 에너지가 나와.,방정식이 완성됐소. 보이드 에너지와 반물질을 결합하면 — 지금껏 이 우주에 없던 무기 에너지가 나와.,sample3_leehwiso_2.mp3
033,이휘소,leehwiso,,거북선에 그 에너지를 실을 수 있소? 도면이 있다면...,거북선에 그 에너지를 실을 수 있소? 도면이 있다면...,sample3_leehwiso_3.mp3
034,우르사 메이저,ursamajor,,인류의 작은 함대가 마침내 여기까지 왔는가. 백 년의 침묵을 깨고.,인류의 작은 함대가 마침내 여기까지 왔는가. 백 년의 침묵을 깨고.,sample3_ursamajor_1.mp3
035,우르사 메이저,ursamajor,,"백 년 전, 나는 너희 별을 봉인했다. 너희 종족의 침묵은 영원할 줄 알았지. 그러나 — 한 캡슐이 다시 깨어났구나.","백 년 전, 나는 너희 별을 봉인했다. 너희 종족의 침묵은 영원할 줄 알았지. 그러나 — 한 캡슐이 다시 깨어났구나.",sample3_ursamajor_2.mp3
036,우르사 메이저,ursamajor,,이순신. 너의 전술 데이터는 내 방어 알고리즘의 핵심이었다. 너를 봉인한 것은 — 가장 강한 무기를 빼앗기 위함이었다.,이순신. 너의 전술 데이터는 내 방어 알고리즘의 핵심이었다. 너를 봉인한 것은 — 가장 강한 무기를 빼앗기 위함이었다.,sample3_ursamajor_3.mp3
037,아이젠클로,eisenklau,,"기어이 여기까지 기어왔군, 벌레들. 페스작센 — 내 단조로의 심장이다. 우르사 메이저께서 내리신 봉쇄, 그 쇠사슬의 마지막 고리지. 여기서 네놈들을 녹여, 다시 강철로 벼려주마.","기어이 여기까지 기어왔군, 벌레들. 페스작센 — 내 단조로의 심장이다. 우르사 메이저께서 내리신 봉쇄, 그 쇠사슬의 마지막 고리지. 여기서 네놈들을 녹여, 다시 강철로 벼려주마.",sample3_eisenklau_1.mp3
038,아이젠클로,eisenklau,,"이순신?! 그 잠든 칼을 누가 깨웠나! …상관없다. 크리그 전 함대, 전열 정비! 저 낡은 거북 껍데기를 — 갈아 부숴라!","이순신?! 그 잠든 칼을 누가 깨웠나! …상관없다. 크리그 전 함대, 전열 정비! 저 낡은 거북 껍데기를 — 갈아 부숴라!",sample3_eisenklau_2.mp3
