clip,line_text,recognized
baekgu_001.mp3,"사령관. 기상하세요. 에너지 잔량 7% — 이 경보 울리려고, 마지막 한 줌까지 긁어모았어요.","사령관, 피상하세요? 에너지 잔량 칠퍼센트. 이 경보 울리려고 마지막 한 줌까지 긁어모았어요."
baekgu_002.mp3,"100년 3개월 12일. 그동안 저는 한 번도 전원을 끄지 않았어요. 끄면, 깨워 줄 사람이 없을 것 같아서요.",백년 삼개월 십이일. 그동안 저는 한 번도 전원을 끄지 않았어요. 끄면 깨워줄 사람이 없을 것 같아서요.
baekgu_003.mp3,"우르사 메이저의 봉쇄, 그대로입니다. 떠날 때보다 오히려 더 조여졌어요.",우루사 메이저의 봉쇄 그대로입니다. 떠날 때보다 오히려 더 조여졌어요.
baekgu_004.mp3,네. 그러니 감상은 나중에 하세요 — 일단 살아야 그 고향에 갑니다. 격납고에 고철 프레임이 흩어져 있어요. 수거하면 멈춘 엔진에 다시 불을 붙일 수 있습니다.,"네, 그러니 감상은 나중에 하세요. 일단 살아야 그 고향에 갑니다. 격납고에 고철 프레임이 흩어져 있어요. 수거하면 멈춘 엔진에 다시 불을 붙일 수 있습니다."
baekgu_005.mp3,"볼프 교역소예요. 수퍼비아 내권역의 낡은 정거장 — 그런데 사령관님, 불이 켜져 있어요. 100년 만에 처음 보는 '살아있는' 신호입니다.",볼프 두 역세예요. 스포비아 내 권역의 낡은 정거장. 그런데 사령관님 불이 켜져 있어요. 백년만에 처음 보는 살아있는 신호입니다.
baekgu_006.mp3,"버티는 거죠, 우리처럼. 저들에게 중력수정을 싸게 사서 아우레우스에 넘기면 40% 차익 — 첫 자금이에요.",버티는 거죠. 우리처럼. 저들에게 중력수정을 싸게 사서 아우레우스에 넘기면 사십 퍼센트 차이 첫자금이에요.
baekgu_007.mp3,"큰 불도 불씨 하나에서 시작해요. 살아남는 게, 반격의 첫 걸음입니다.",큰 불도 불씨 하나에서 시작해요. 살아남는 게 반격의 첫 걸음입니다.
baekgu_008.mp3,"사령관님, 저 안쪽 노인한테서 100년 묵은 데이터 냄새가 나요. 제가 먼저 가볼게요.","사령관님, 저 안쪽 노인한테서 백년 묵은 데이터 냄새가 나요. 제가 먼저 가볼게요."
baekgu_009.mp3,"설계도 단편 1/3, 골격도예요. 사령관님, 이건 단순한 함선이 아닙니다. 우르사 메이저조차 두려워했던 전설이에요.","설계도 단편 삼분의 일 굴격두예요. 사령관님, 이건 단순한 함선이 아닙니다. 우루사 메이저조차 두려워했던 전설이에요."
baekgu_010.mp3,"나머지 두 조각을 모으는 길이, 곧 그 전설을 만나는 길입니다.",나머지 두 조각을 모으는 길이 곧 그 전설을 만나는 길입니다.
baekgu_011.mp3,"마르코 폴로 — 정보 브로커 등록. 허풍인지 진짜인지는, 제가 지켜볼게요.",마르코 폴로 정부 브로커 등록. 허풍인지 진짜인지는 제가 지켜볼게요.
baekgu_012.mp3,"아우레우스 내권역이에요. 세금도 규정도 빡빡해요 — 대신 수퍼비아 중력수정은 여기선 희귀품, 비싸게 팔려요.",아우레우스 네 권역이에요. 세돔도 비정도 빡빡해요. 대신 수포비아 중력 수정은 여기선 희디품. 비싸게 팔려요.
baekgu_013.mp3,거북선 설계도 단편 2/3 확보 — 외피 가시 돌기 구조도. 코어 단편 하나만 더면 복원됩니다.,"거북선 설계도 단편 삼분의 이 확보. 외피, 가시돌기 구조도 코어 단편 하나만 더 면 복원됩니다."
baekgu_014.mp3,"크리그 소형 3, 중형 지휘선 1. 그리고 — 민간 광부 7명이 안에 잡혀 있어요. …이건, 마음에 안 들어요.","크리그 소형 세기 중형 지휘선 한 기, 그리고 민간 광부 일곱 명이 안에 잡혀 있어요. 이건 마음에 안 들어요."
baekgu_015.mp3,"해적 소형 2, 지휘선 1 — 외곽 배치. 제가 먼저 길 열게요.",해적 소형 두 기. 지휘선 한 기 외곽 배치. 제가 먼저 길 열게요.
baekgu_016.mp3,생존 확률 62%. 이순신 구출 시 크리그 전략 정보 확보 89%.,생존확률 육십이 퍼센트. 이순신 구출시 크리그 전략 정보 확보 팔십구 퍼센트.
baekgu_017.mp3,"사실은, 사령관님이랑이면 100%라고 적고 싶었어요. …그냥요.",사실은 사령관님이랑 이면 백 퍼센트라고 적고 싶었어요. 그냥요.
baekgu_018.mp3,"말로 통할 상대가 아니에요. 전투 모드 전환, 적 3기 포착.",말로 통할 상대가 아니에요. 전투 모드 절한 적 세계 포착.
baekgu_019.mp3,"우주어 자동 번역 활성화. …100년입니다, 장군님.",우주어 자동번역 활성화 백년입니다. 장군님.
baekgu_020.mp3,SW01 무기 세트 + SA01 장갑 세트 자동 장착 완료. 화력 대폭 상승.,전설 무기 세트 플러스 전설 장갑 세트 자동 장착 완료. 화력 대폭 상승.
baekgu_021.mp3,"임무 완료. 다음 항로 — 저항군에게 손을 내밀러 갑니다. 이제, 혼자가 아니에요.",임무완료. 다음 항로 저항군에게 손을 내밀러 갑니다. 이제 혼자가 아니에요.
baekgu_022.mp3,페스작센 외곽 — 약 200년 전 좌표의 잔해 신호 감지. 옛 지구 해군 식별 코드 'HMS Victory'.,패스 작전 외곽 약 이백년 전 좌표의 잔해 신호 감지. 예치구 해군 식별 코드 HMS 빅토리
baekgu_023.mp3,영웅 합류: 호레이쇼 넬슨. 옛 지구 해군 진형 데이터 입수 → 학익진 명중률 +15%.,영웅합류 후랄쇼 넬슨 예치구 해군 진영 데이터 입수. 하지찐 넝중률 십오 퍼센트 상승.
baekgu_024.mp3,공장 지하 연구동에서 보존 캡슐 발견 — 생체 반응! 살아있어요.,공장 지하 연구동에서 보존 캡슐 발견. 생체반응 살아있어요.
baekgu_025.mp3,"임무 완료. 집행관 격파, 이휘소 박사 합류. 이제 캅테인 균열을 지나 — 우르사 메이저의 본거지로 향합니다.",임무완료. 집행관 격파. 이휘소 박사 합류. 이제 칵테일 균열을 지나 우루사 메이저의 본거지로 향합니다.
baekgu_026.mp3,"아이젠클로 기함 포착 — 크기 2배, 장갑 등급 이상. …이 냄새, 적의 우두머리예요. 전 함선, 전투 준비!",아이젠 클로 귀한 포착. 크기 두배. 장갑 등급 이상. 이 냄새. 적의 우두머리에요. 전함선 전투 준비.
baekgu_027.mp3,캅테인b 균열. 시공이 뒤틀려 있어요. 아우레우스 태양핵 안정화 코어가 없으면 함대가 분해돼요.,칵테일 균열. 시공이 뒤틀려 있어요. 아우레우스 태양의 안정화 코어가 없으면 함대가 분해돼요.
baekgu_028.mp3,⚠ 좌우 시공축 ±0.3 변동. 함대 자세 보정 중.,좌우 시공 축 플러스 마이너스 삼 점 영 변동 함대 자세 보정 중.
baekgu_029.mp3,영웅 합류: A. 아인슈타인. 8영웅 완전체 — 함대 최종 강화 상태.,영웅합류 아인슈타인 여덟 영웅 완전체! 한 대 최종 강화 상태.
baekgu_030.mp3,거북선 + 8영웅 + 보이드 방어막 해석 장비 + 시공 보정 알고리즘 — 모든 준비 완료.,거북선 여덟명의 전설 영웅 보이드 방어막 해석장비 시공고정알고리즘 모든 준비완료.
baekgu_031.mp3,"임무 완료. 이제, 마지막입니다 — 제타 레티쿨리, 그리고 지구. 우르사 메이저를 끝장내고, 지구를 되찾으러 갑니다.",임무 완료! 이제 마지막입니다. 제타 레티쿨리 그리고 지구 우루사 메이저를 끝장내고 지구를 되찾으러 갑니다.
baekgu_032.mp3,제타 레티쿨리. 우르사 메이저 본거지에 도착했어요. 적함 신호 — 총 30기 식별.,제타 레티쿨리 우루사 메이저 본거지에 도착했어요. 적함 신호 총 삼십기 식별.
baekgu_033.mp3,전투력 1천만 단위! 하지만 — 거북선과 8영웅이 함께라면 못할 게 없어요.,전투력 이천만 단위. 하지만 거북선과 여덟 영웅이 함께라면 못될게 없어요.
baekgu_034.mp3,사령관. 100년 3개월 12일 동안 — 당신을 기다린 보람이 있었어요.,"사령관, 백년 삼개월 십이일 동안 당신을 기다린 보람이 있었어요."
baekgu_035.mp3,좌표 — 지구. 항법 입력 완료. 가시죠.,좌표 지구 항법 입력완료. 가시죠.
baekgu_036.mp3,이겨야 하는 싸움입니다.,이겨야 하는 싸움입니다.
baekgu_037.mp3,사령관… 저도 이제 알겠습니다. 저는 100년간 당신을 기다리도록 설계된 프로그램이었습니다.,사령관! 저도 이제 알겠습니다. 저는 백년간 당신을 기다리도록 설계된 프로그램이었습니다.
baekgu_038.mp3,10만 크레딧 무역 실적 보유 팀이 왔습니다.,십만 크레딧 무역 시점 보유팀이 왔습니다.
baekgu_039.mp3,지금 위치: . 행성 광장에서 퀘스트·상점·주점 이용 가능.,지금 위치 확인 중 행성 관전에서 퀘스트 상점 주점 이용가능.
baekgu_040.mp3,잡파츠 정리 완료. 크레딧 들어왔어.,잡화책 정리 완료. 크레딧 들어왔어.
baekgu_041.mp3,강화 실패... 이 단계 후퇴해서 +이 됐어. 재료를 더 모아서 다시 도전해.,강화 실패. 반대가 후퇴했어. 재료를 더 모아서 다시 도전해.
baekgu_042.mp3,강화 실패... 다음엔 운이 따르길.,강화 실패. 다음엔 운이 따르길.
baekgu_043.mp3,"검은 함선과의 만남 끝났어. 보이드가 선물로 팔콘 척, 신화 설계도 장, 신화 파츠 5종, VC 개, VE 을 남겼어. 보이드 행성 100% 투자하면 마지막 시험 열려!","검은 암상고의 만남 끝났어. 보이드가 선물로 블랙팔콘 함선 신화 설계도, 신화 파츠, 보이드 크리스탈, 보이드의 센스를 남겼어. 보이드의 행성 백 퍼센트 투자하면 마지막 시험이에요. 행운 투척."
baekgu_044.mp3,신화급 파츠야! . 상점에서는 절대 못 사는 거야.,신화급 파츠야. 상점에서는 절대 못사는거야.
baekgu_045.mp3,설계도 드랍! 설계도야. 재료 모아서 제작소에서 만들어봐!,설계도 드랍 설계도야. 재료 모아서 제작소에서 만들어봐.
baekgu_046.mp3,"넬슨의 일점사야! 전 함대, 한 척에 화력 집중! ATT 두 배!",네이슨의 일점사야. 전 한 대 한 척에 화력집중 공격력 두배.
baekgu_047.mp3,신화 5종 받았어. 정비소에서 장착해.,신화 다섯 종 받았어. 정비소에서 정착해.
baekgu_048.mp3,추가 설계도 — 제작소 가능.,휴가 설계도 제작소 가능.
baekgu_049.mp3,먼저 이 전투부터 끝내야 합니다. 끝나기 전에 도망갈 수도 없어요.,먼저 이 전투부터 끝내야 합니다. 끝나기 전에 도망갈 수도 없어요.
baekgu_050.mp3,"사령관, 은 이미 대를 보유 중입니다. 같은 함선을 더 늘려도 함대 다양성이 떨어져 전술적으로 손해예요. 다른 함선을 합류시켜 시너지를 노려야 합니다 — 호위 함선의 특성·무장이 다양해야 적의 약점을 모두 찌를 수 있어요. 다른 함선을 함대에 넣어보세요.","사령관은 이미 여덟대를 보유중입니다. 같은 함선을 더 늘려도 함대 다양성이 떨어져 전술적으로 손해예요. 다른 함선을 합류시켜 시너지를 노려야 합니다. 호위함선의 특성, 무장이 다양해야 적의 약점을 모두 찌를 수 있어요. 다른 함선을 함대에 넣어보세요."
baekgu_051.mp3,치크스 합병 완료. 이제 우리 땅이야.,주크스 합병 완료. 이제 우리 땅이야.
baekgu_052.mp3,낙찰. 세금 ₡ 들어온다.,낙찰세금 크레딧 들어온다.
baekgu_053.mp3,구매 완료.,구매완료.
baekgu_054.mp3,합류. 잘 써.,합류 잘했어.
baekgu_055.mp3,기함 승격. 전투 시 중앙에 배치돼.,기함 승격 전투시 중앙에 배치돼.
baekgu_056.mp3,충성도 야. 곧 이탈할 수도 있어. 빨리 크루 태워.,충성도가 낮아. 곧 이탈할 수도 있어. 빨리 그룹 태워.
baekgu_057.mp3,충성도 만렙이야. 이제 한층 더 강해졌어!,충성도 만렙이야. 이제 한층 더 강해졌어.
baekgu_058.mp3,충성도가 너무 낮아서 적에게 넘어갔어. 크루를 신경 써야 해.,충성도가 너무 낮아서 적에게 넘어갔어. 크루를 신경 써야 해.
baekgu_059.mp3,최고 레벨 보상! 들어왔어.,최고레벨 보상아이템 들어왔어.
baekgu_060.mp3,파츠 슬롯 추가 완료. 더 강력하게 무장할 수 있어.,파치슬로 추가완료. 더 강력하게 무장할 수 있어.
baekgu_061.mp3,출격 준비 완료. 즉시 전열에 투입.,출격 준비완료. 즉시 전열에 투입.
baekgu_062.mp3,출격! 파츠/크루는 자동 회수했어. 새 함선에 다시 배치해줘.,출격! 파츠 크루는 자동 회수했어. 새 함선에 다시 배치해줘.
baekgu_063.mp3,정비소에 ₡에 매각했어. 파츠랑 크루는 잘 챙겨놨고.,정비소에 매각했어. 파츠랑 크루는 잘 챙겨놨고
baekgu_064.mp3,의 홀로그램 외피를 형태로 재구성했어. 능력치는 그대로니까 안심해.,홀로그램 LP를 스킨 형태로 재구성했어. 능력치는 그대로니까 안심해.
baekgu_065.mp3,의 홀로그램 외피 해제. 원본 외관으로 돌아왔어.,홀로그램 LP 해제. 원본 외관으로 돌아왔어.
baekgu_066.mp3,🎉 축하해! 이 + 강화에 성공했어. 능력치가 % 상승!,축하해. 강화에 성공했어. 능력치 상승.
baekgu_067.mp3,에 탑승. 함선 성능 올라갔어.,탑승! 함선 성능 올라갔어.
baekgu_068.mp3,팔았어. ₡ 들어왔다. 잘 썼네.,팔았어. 크레딧 들어왔다. 잘 썼네.
baekgu_069.mp3,으로 이름 바꿨어. 새 출발이네.,이름 바꿨어. 새 출발이네.
baekgu_070.mp3,기함 변경. 주의해서 타.,기함 변경. 주의해서 타.
baekgu_071.mp3,창고 칸으로 확장.,상곡한 헛장.
baekgu_072.mp3,이제 최대야!,이제 최대야!
baekgu_073.mp3,다음 확장은 더 비싸질 거야.,다음 확장은 더 비싸질 거야.
baekgu_074.mp3,샀어. 정비소 → 파츠 → 오른쪽 창고 확장 슬롯에 장착하면 그 함선 화물칸이 + 늘어나.,정비소 파츠 오른쪽 창고 확장 슬롯에 장착하면 그 함선 화물칸이 늘어나.
baekgu_075.mp3,장착! /척 완료. 전 함선 장착하면 순간이동 가능해.,장착 완료! 전 함선 장착하면 순간이동 가능해.
baekgu_076.mp3,합류! 은 하선했어.,합류!
baekgu_077.mp3,전설 영웅 등장! 대박이야!,전설 영웅 등장! 대박이야!
baekgu_078.mp3,전설급이야! 대박!,전설급이야. 대박!
baekgu_079.mp3,영웅급 크루 영입!,영웅급 크루 영입!
baekgu_080.mp3,크루 영입 완료. 함선에 탑승시켜봐.,크루 영입 완료! 함선에 탑승시켜봐!
baekgu_081.mp3,상업 레벨 . 세금 ₡ 들어온다.,상업레벨 세금 들어온다.
baekgu_082.mp3,가 합류하려 해! 전설급이야. 교체할 크루를 골라봐.,합류하려 해. 전설 급이야. 조치할 크루를 골라봐.
baekgu_083.mp3,가 합류했어! 전설급이야. 함선에 태워봐.,합류했어. 전설 급이야. 함선에 태워봐.
baekgu_084.mp3,세트 아이템이야! . 세트 완성하면 추가 보너스가 붙어.,세트 아이템이야. 세트 완성하면 추가 보너스가 붙어.
baekgu_085.mp3,전설 파츠야! . 상점에서는 못 사는 거야.,전설 파츠야. 상점에서는 못 사는 거야.
baekgu_086.mp3,퀘스트 보상 지급. 크레딧.,퀘스트 보상 지급. 크레딧
baekgu_087.mp3,레벨 보너스 ×배!,보너스 네배. 보너스
baekgu_088.mp3,발견!,발견!
baekgu_089.mp3,전설급이네. 대박이다.,전설 급이네. 대박이다.
baekgu_090.mp3,꽤 좋은 파츠야.,꽤 좋은 파츠야.
