clip,line_text,recognized
maximoff_001.mp3,"우리 저항군은 지구에서 쫓겨난 사람들이에요. 치크스-우르사 메이저가 지구를 봉쇄하고 크리그가 항로를 장악하기 전, 이순신 장군과 함께 맞서 싸웠던 선조들의 후손이죠. 400년 전 이 방공호를 파고 — 여기서 나고, 여기서 잃었어요. 내 아내도, 두 아이도. 그래서 난 지구를 되찾는 걸 멈출 수 없어요. 그건… 가족을 되찾는 일이니까.","우리 저항군은 지구에서 쫓겨난 사람들이에요. 시크 소르사 메이저가 지구를 봉쇄하고 크리그가 항로를 장악하기 전 이순신 장군과 함께 맞서 싸웠던 선조들의 후손이죠. 백년 전 이 방공호를 파고 여기서 나고, 여기서 잃었어요. 내 아내도, 두 아이도. 그래서 난 지구를 되찾는 걸 멈출 수 없어요. 그건 가족을 되찾는 일이니까."
maximoff_002.mp3,살아남은 것만으론 부족했어요. 지금 크리그가 보급망에 첩자를 심어 우리 내부를 흔들고 있어요. 믿을 수 있는 동료가 절실해요.,살아남은 것만으론 부족했어요. 지금 크리그가 보급망에 첩자를 심어 우리 내부를 흔들고 있어요. 믿을 수 있는 동료가 절실해요.
maximoff_003.mp3,연대의 증표를 먼저. 지구 철광석 — 지구의 땅에서 온 것으로 서약하는 게 우리 전통이에요.,"연대의 증표를 먼저. 지구 철광석, 지구의 땅에서 온 것으로 서약하는 게 우리 전통이에요."
maximoff_004.mp3,"당신들이 직접 왔군요. 코르넬리우스 사건 — 우리도 들었어요. 아이젠클로가 직접 기술을 사들였다면, 위협은 우리 예상보다 깊어요.","당신들이 직접 왔군요. 코르넬리우스 사건, 우리도 들었어요. 아이젠 클로가 직접 기술을 사들였다면 위협은 우리 예상보다 깊어요."
maximoff_005.mp3,그렇다면 공식 연대 협약을 먼저 맺어야 합니다. 지구의 방식으로.,그렇다면 공식 연대 협약을 먼저 맺어야 합니다. 지구의 방식으로.
maximoff_006.mp3,크리그가 새 거점을 올리고 있어요. 아이젠클로가 직접 지휘 중이에요.,크리그가 새 거점을 올리고 있어요. 아이젠 클로가 직접 지휘 중이에요.
maximoff_007.mp3,"제작 베이 준비 완료. 장영실 씨, 시작하시죠.",제작 배의 준비 완료. 작용 실시. 시작하시죠.
maximoff_008.mp3,페스작센은 끝났습니다. 집행관 아이젠클로 — 격파 확인. 허나 크리그 보급 요새 슈멜츠가 아직 숨 쉬고 있어요.,패스 적세는 끝났습니다. 집행관 아이젠 클로 격파 확인. 허나 크리그 보급 요새 슈메츠가 아직 숨쉬고 있어요.
maximoff_009.mp3,사령관. 지구가 — 100년 만에 — 다시 열렸어요. 의회가 당신을 기다리고 있습니다.,"사령관, 지구가 백년 만에 다시 열렸어요. 의회가 당신을 기다리고 있습니다."
maximoff_010.mp3,아이젠클로의 친필 항복서 — 의회에 헌정합니다. 100년 봉쇄의 종결 — 공식 선포.,"아이젠 클로의 친필 항복서, 의회에 헌정합니다. 백년 봉쇄 종결 공식 선포."
maximoff_011.mp3,결의안 채택 완료. 프록시마B부터 글리제 균열까지 — 가 전 은하계 행성 총독권을 경매로 인수한다.,결의안 채택 완료. 프록시마 비부터 글리제 균열까지 전 은하계 행성 총도권을 경매로 인수한다.
