clip,line_text,recognized
jangyeongsil_001.mp3,"거북선을… 만들겠다고? 400년 전 그 배를, 지금 재료로.",거북선을 만들겠다고? 사백년 전 그 배를 지금 재료로?
jangyeongsil_002.mp3,"중수소 배터리 3개. 내 시뮬레이터 연료다. 그걸 가져오면 — 한번, 들어주지.",중수소 배터리 세 개. 내 시뮬레이터 연료다. 그걸 가져오면 한번 들어주지.
jangyeongsil_003.mp3,거북선 완성에 저항군 반물질이 25개 필요해. 지금 우리한테 있는 건...,거북선 완성에 저항군 반물질이 스물다섯 개 필요해. 지금 우리한테 있는 건
jangyeongsil_004.mp3,저항군 본부 타이탄H에 비축이 있을 거야. 레인저한테 받아야 해.,저항군 본부 타이탄에이치에 비축이 있을 거야. 레인저한테 받아야 해.
jangyeongsil_005.mp3,그래서 왔어요. 거북선을 만들 겁니다. 저항군 반물질 25개와 제작 베이 지원이 필요해요.,그래서 왔어요. 거북선을 만들겁니다. 저항군 반물질 스물다섯 개와 제작 베이 지원이 필요해요.
jangyeongsil_006.mp3,"재료 목록, 완성. 400년 전 그분의 설계에, 내 손을 더한다. 거북선, 다시 바다로 나갈 수 있어.",재료 목록 완성. 사백년 전 그분의 설계에 내 손을 더한다. 거북선이 다시 바다로 나갈 수 있어.
jangyeongsil_007.mp3,"거북선이 완성되는 날, 그 요새의 벽도 무너져요.",거북선이 완성되는 날 그 요새의 벽도 무너져요.
jangyeongsil_008.mp3,데이터 복호기로 해독한 로그 — 아이젠클로가 직접 이 행성 공장을 지휘하고 있어. 생체 병기 핵심 코어를 여기서 찍어내는 중이야.,데이터 복호기로 해독한 로그 아이젠 클로가 직접 이 행성 공장을 지휘하고 있어. 생체 병기 핵심 코어를 여기서 찍어내는 중이야.
jangyeongsil_009.mp3,반란군이라… 이용할 수 있어. 설비를 가동하면 크리그 마그마 코어도 손에 들어오고.,"반란군이라 이용할 수 있어. 설비를 가동하면 크리그 마그마 코어도 손에 들어오고,"
jangyeongsil_010.mp3,크리그 마그마 코어 3개만 더 있으면 — 거북선 용골 재료가 완성돼.,크리그 마그마 코어 세 개만 더 있으면 거북선 용골 재료가 완성돼.
jangyeongsil_011.mp3,은하 혼돈 결정 15개. 그것 없이는 거북선을 못 만들어.,은하혼돈결정 열다섯 개. 그것 없이는 거북선을 못 만들어.
jangyeongsil_012.mp3,항법 보조가 안 먹혀. 균열 지도 원석으로 경로를 수동 입력해야 해.,항법 보조가 안 먹혀. 균열 지도 원석으로 경로를 수동 입력해야 해.
jangyeongsil_013.mp3,나한테 있어요.,나한테 있어요.
jangyeongsil_014.mp3,"크리그 마그마 코어 ×8, 저항군 반물질 ×25, 수퍼비아 중력자 ×10, 은하 혼돈 결정 ×15. 전부 확보됐어.",크리그 마그마 코어 여덟 개. 저항군 반물질 스물다섯 개. 수퍼비아 중력자 열 개. 은하혼돈결정 열다섯 개. 전부 확보됐어.
jangyeongsil_015.mp3,머리를 베어도 꼬리가 남았네. 친위대 잔당이 요새를 붙들고 있어 — 뿌리까지 뽑자.,머리를 베어도 꼬리가 남았네. 친위대 잔당이 요새를 붙들고 있어. 뿌리까지 뽑자. 그 탄도 방정식 거북선에 실을 수 있어요. 당신과
jangyeongsil_016.mp3,거북선이 균열을 견딘다. 외피가 잘 버티는군.,나 손을 맞추면 이 함대의 미사일이 달라집니다. 거북선이 균열을 견딘다. 외피가 잘 버티는 군.
jangyeongsil_017.mp3,거북선 출력 120%. 전류 방어막 — 활성화.,거북선 출력 백이십 퍼센트 전류방어막 활성화.
jangyeongsil_018.mp3,거북선 — 최종 강화 완료. 보이드 방어막 해석 장비 통합. ATT·INT 패시브 +50%로 상향.,거북선 최종 강화완료 보이드 방어막 해석장비 통합 에이티티아이엔티 패시브 플러스 오십 퍼센트로 상향.
jangyeongsil_019.mp3,거북선 노포 — 전 화력 충전 100%. 학익진 일점사 진형 정렬.,거북선 노포전 화력충전 백 퍼센트. 하객진 일 점 사 진영정렬.
jangyeongsil_020.mp3,호위함 전 화력 — 거북선 패시브 +30% 적용!,호위함 전 화력 거북선 패시브 플러스 삼십 퍼센트 적용.
jangyeongsil_021.mp3,"거북선이 — 끝까지 버텼어. 옛 지구의 그 거북선이, 우주에서도.",거북선이 끝까지 버텼어. 옛 지구의 그 거북선이 우주에서도.
jangyeongsil_022.mp3,거북선 제작소를 여기 세우겠어요. 지구의 기술자들과 함께.,거북선 제작소를 여기 세우겠어요. 지구의 기술자들과 함께.
jangyeongsil_023.mp3,총독 경매 낙찰 후 방위군 배치까지 마쳐야 은하계가 안정돼.,총독 경매 낙찰 후 방위군 배치까지 마쳐야 은하계가 안정돼.
jangyeongsil_024.mp3,구출? 나를 가두고 있던 놈들이 내 설계도를 빼앗아 갔소. 100년 전에. 그것도 없이 무슨 구출이오.,구출? 나를 가두고 있던 놈들이 내 설계도를 빼앗아갔소. 백년 전에 그것도 없이 무슨 구출이오?
jangyeongsil_025.mp3,내 손으로 직접 완성해야지. 나의 절친이자 거북선의 본 설계자 나대용의 정신을 이을 수 있는 자는 이제 없소.,"내 손으로 직접 완성해야지. 나의 절친이자 거북선의 본설계자, 나대용의 정신을 이을 수 있는 자는 이제 없소."
jangyeongsil_026.mp3,다른 사람이 만든 거북선은 안 됩니다. 내 손으로 복원해보겠소!,다른 사람이 만든 거북선은 안 됩니다. 내 손으로 복원해 보겠소.
jangyeongsil_027.mp3,천 년 전에도 나는 이렇게 했소.,천년 전에도 나는 이렇게 했소.
