clip,line_text,recognized
einstein_001.mp3,반갑소. 이 균열 안에서 백 년을 기다렸지. 시공은 상대적이니 — 나에게는 그리 길지 않았소.,반갑소. 이 균열 안에서 백년을 기다렸지. 시공은 상대적이니 나에게는 그리 길지 않았소.
einstein_002.mp3,우르사의 보이드 방어막 — 일정 주파수에서 공명을 일으키면 0.3초만에 풀리오. 내가 계산을 해주지.,우루사 보이드 방어망. 일정 주파수에서 공명을 일으키면 영점삼초 만에 풀려. 내가 계산을 해주지.
einstein_003.mp3,테슬라. 자네의 무선 전력은 결국 옳았어. 시간이 증명했지.,테슬라. 자네의 무선 전력은 결국 옳았소. 시간이 증명했지.
einstein_004.mp3,시공 보정 알고리즘 — 전 함대에 적용 완료. 명중률 +20%. 우르사의 회피 패턴까지 예측 가능.,시공 고정 알고리즘. 전 함대 적용 완료. 영중률 플러스 이십 퍼센트. 우루사의 회피 패턴까지 예측 가늠.
einstein_005.mp3,시공 안정. 보이드 방어막 해석 장비 — 활성화 가능 상태.,시공 한 점. 보이드 방어막. 해석 장비 활성화 가늠 상태.
einstein_006.mp3,그 알고리즘 — 이순신 장군의 전술이 거꾸로 너의 허점을 가리킨다. 봉인이 풀리면 — 방패가 칼이 되지.,그 알고리즘. 이순신 장군의 전술이 거꾸로 너의 허점을 가리킨다. 봉인이 풀리면 방패가 칼이 되지.
einstein_007.mp3,4.7GHz 공명파 — 충전 100%. 발사 명령 대기.,사점칠 기가헤르츠 공명파 충전 대퍼센트. 발사 명령 대기.
einstein_008.mp3,시공 결정체 보정 — 적용. 보이드 방어막 공명 주파수 락온.,시공 결정체 보정 적용. 보이드 방어막 공명 주파수로 하곤
einstein_009.mp3,가능했지. 100년 동안 균열 안에서 — 자네들 모르게 결정체를 길러왔거든.,가능했지. 백년 동안 균열 안에서 자네들 모르게 결정체를 길러왔거든.
einstein_010.mp3,4.7GHz 공명파 — 발사!,사점칠 기가헤르츠 공명파 발사!
einstein_011.mp3,시공이 풀렸군. 균열이 닫히고 있어. 자연 상태로 — 돌아간다.,시공이 풀렸군. 균열이 닫히고 있어 자연 상태로 돌아간다.
einstein_012.mp3,우주는 상대적이지만 — 고향은 절대적이군.,우주는 상대적이지만 고향은 절대적이군.
einstein_013.mp3,당신이 왔군요. 예상했습니다.,당신이 왔군요. 예상했습니다.
einstein_014.mp3,"나는 100년 전에 이 순간을 계산했습니다. 당신이 이 좌표에 올 것을, 그 시각까지. 오차 범위 0.3%.",나는 백년 전에 이 순간을 계산했습니다. 당신이 이 좌표에 올 것을. 그 시각까지 오차범위 영점삼 퍼센트.
einstein_015.mp3,그리고 백구. 이휘소 박사와 내가 설계했습니다. 역시간 전송 방정식으로.,그리고 백구 이휘소 박사와 내가 설계했습니다. 역시간 전송 방정식으로.
einstein_016.mp3,"치크스도 찾지 못할 위치, 글리제 균열의 간섭을 받는 프록시마B. 사령관의 각성 지점이었습니다.",치크스도 찾지 못할 위치. 그 리제 균열의 간섭을 받는 프록시마 비 사령관의 각성 지점이었습니다.
einstein_017.mp3,당신이 유일하게 이 두 가지를 동시에 가졌기 때문입니다. 분노와 자비.,당신이 유일하게 이 두 가지를 동시에 가졌기 때문입니다. 분노와 자비.
einstein_018.mp3,"치크스를 쓰러뜨릴 분노, 그리고 치크스를 이해할 자비. 분노만 있으면 또 다른 우르사 메이저를 만들 뿐이에요.","치크스를 쓰러뜨릴 분노, 그리고 치크스를 이해할 자비. 분노만 있으면 또 다른 우루사 메이저를 만들 뿐이에요."
