num,character,char_slug,emotion,text,input_text,filename
001,주인공(사령관),commander,,"얼마나, 잤지?","얼마나, 잤지?",commander_001.mp3
002,주인공(사령관),commander,,지구는... 아직도?,지구는... 아직도?,commander_002.mp3
003,주인공(사령관),commander,,"고향이, 아직 저 위에 있군.","고향이, 아직 저 위에 있군.",commander_003.mp3
004,주인공(사령관),commander,,사람이? 아직 누가 남아 있다고?,사람이? 아직 누가 남아 있다고?,commander_004.mp3
005,주인공(사령관),commander,,고작 장사로 봉쇄를 뚫겠다고?,고작 장사로 봉쇄를 뚫겠다고?,commander_005.mp3
006,주인공(사령관),commander,,좀 오래 잠들어 있었습니다. 이제 막 깼고요.,좀 오래 잠들어 있었습니다. 이제 막 깼고요.,commander_006.mp3
007,주인공(사령관),commander,,"지금은 고철뿐입니다. 하지만 곧, 훨씬 큰 걸 들고 오죠.","지금은 고철뿐입니다. 하지만 곧, 훨씬 큰 걸 들고 오죠.",commander_007.mp3
008,주인공(사령관),commander,,거북선…?,거북선…?,commander_008.mp3
009,주인공(사령관),commander,,"그 사람은, 지금 어디 있지?","그 사람은, 지금 어디 있지?",commander_009.mp3
010,주인공(사령관),commander,,잘 부탁해.,잘 부탁해.,commander_010.mp3
011,주인공(사령관),commander,,구한다.,구한다.,commander_011.mp3
012,주인공(사령관),commander,,간다.,간다.,commander_012.mp3
013,주인공(사령관),commander,,"크리그를, 벌써 여기서 만나는군.","크리그를, 벌써 여기서 만나는군.",commander_013.mp3
014,주인공(사령관),commander,,사람부터 꺼낸다.,사람부터 꺼낸다.,commander_014.mp3
015,주인공(사령관),commander,,"백구, 육십이 퍼센트면 충분해.","백구, 육십이 퍼센트면 충분해.",commander_015.mp3
016,주인공(사령관),commander,,마르코 폴로. 이 구역 독립 중개상이라고 했어. 치크스 눈 피해 밀무역하는 사람 — 그가 통신 장비를 갖고 있을 거야.,마르코 폴로. 이 구역 독립 중개상이라고 했어. 치크스 눈 피해 밀무역하는 사람 — 그가 통신 장비를 갖고 있을 거야.,commander_016.mp3
017,주인공(사령관),commander,,여긴 은하 공용 항로다. 비켜.,여긴 은하 공용 항로다. 비켜.,commander_017.mp3
018,주인공(사령관),commander,,"발굴한다. 살아있는 거라면, 더더욱.","발굴한다. 살아있는 거라면, 더더욱.",commander_018.mp3
019,주인공(사령관),commander,,오르크를 잡으면 다음 경로가 열려. 출발한다.,오르크를 잡으면 다음 경로가 열려. 출발한다.,commander_019.mp3
020,주인공(사령관),commander,,"치크스 변이 포자 ×삼, 마침 이 구역 화물이다. 위장 미끼로 써먹자.","치크스 변이 포자 ×삼, 마침 이 구역 화물이다. 위장 미끼로 써먹자.",commander_020.mp3
021,주인공(사령관),commander,,설계도를 없앤다. 그리고 테슬라도 산 채로 꺼낸다. …사람부터다.,설계도를 없앤다. 그리고 테슬라도 산 채로 꺼낸다. …사람부터다.,commander_021.mp3
022,주인공(사령관),commander,,"지하 감옥 진입 루트 — 마르코, 구역 지도 뽑을 수 있어?","지하 감옥 진입 루트 — 마르코, 구역 지도 뽑을 수 있어?",commander_022.mp3
023,주인공(사령관),commander,,"이순신 장군이 수백 년째 저기 갇혀 있다. 오늘, 우리가 끝낸다.","이순신 장군이 수백 년째 저기 갇혀 있다. 오늘, 우리가 끝낸다.",commander_023.mp3
024,주인공(사령관),commander,,장군. 함께 갑시다.,장군. 함께 갑시다.,commander_024.mp3
025,주인공(사령관),commander,,함께 처리하자.,함께 처리하자.,commander_025.mp3
026,주인공(사령관),commander,,아우레우스 정보 칩으로 좌표 분석. 진입한다.,아우레우스 정보 칩으로 좌표 분석. 진입한다.,commander_026.mp3
027,주인공(사령관),commander,,"아이젠클로. 백 년 봉쇄의 집행관. 오늘, 네 쇠사슬을 여기서 끊는다.","아이젠클로. 백 년 봉쇄의 집행관. 오늘, 네 쇠사슬을 여기서 끊는다.",commander_027.mp3
028,주인공(사령관),commander,,"들어간다. 아우레우스 태양핵 셋, 메카니카 양자칩 셋 — 충분해.","들어간다. 아우레우스 태양핵 셋, 메카니카 양자칩 셋 — 충분해.",commander_028.mp3
029,주인공(사령관),commander,,진입한다.,진입한다.,commander_029.mp3
030,주인공(사령관),commander,,전 함대. 진형 학익진. 거북선 중앙. 진입한다.,전 함대. 진형 학익진. 거북선 중앙. 진입한다.,commander_030.mp3
031,주인공(사령관),commander,,아이젠클로. 백 년 동안 인류를 가뒀던 책임 — 오늘 끝낸다.,아이젠클로. 백 년 동안 인류를 가뒀던 책임 — 오늘 끝낸다.,commander_031.mp3
032,주인공(사령관),commander,,발사.,발사.,commander_032.mp3
033,주인공(사령관),commander,,모두. 발사.,모두. 발사.,commander_033.mp3
034,주인공(사령관),commander,,백구.,백구.,commander_034.mp3
035,주인공(사령관),commander,,내려간다.,내려간다.,commander_035.mp3
036,주인공(사령관),commander,,어디든. 우리는 함께다.,어디든. 우리는 함께다.,commander_036.mp3
037,주인공(사령관),commander,,이순신 제독님.,이순신 제독님.,commander_037.mp3
038,주인공(사령관),commander,,아직 봉쇄 중입니다.,아직 봉쇄 중입니다.,commander_038.mp3
